Name,Height,Weight,Reach,Stance,Birthday,Nickname
Dan Molina,5' 10",216 lbs.,--,,Jun 14  1984,,
Rudyard Moncayo,5' 10",195 lbs.,--,Orthodox,--,,
Hidetaka Monma,6' 0",168 lbs.,--,Orthodox,Oct 23  1973,,
Jeff Monson,5' 9",247 lbs.,74",Orthodox,Jan 18  1971,The Snowman,
Darrell Montague,5' 6",125 lbs.,67",Southpaw,Nov 03  1987,Mongoose,
Andrew Montanez,--,185 lbs.,--,,--,,
Augusto Montano,6' 1",170 lbs.,73",Orthodox,Oct 25  1984,Dodger,
Erick Montano,6' 0",170 lbs.,73",Orthodox,Nov 19  1985,Perry,
Nicco Montano,5' 5",135 lbs.,65",Southpaw,Dec 16  1988,,
Alberto Montes,5' 7",135 lbs.,--,,May 31  1994,The Promise,
Steve Montgomery,6' 4",185 lbs.,75",Southpaw,Dec 19  1990,The Creepy Weasel,
James Moontasri,5' 10",170 lbs.,71",Switch,Apr 10  1988,Moon Walker,
Homer Moore,5' 10",205 lbs.,--,Orthodox,Nov 27  1971,The Rock,
Todd Moore,5' 9",170 lbs.,71",Southpaw,Dec 30  1983,,
Nate Moore,6' 0",170 lbs.,--,,--,,
Dustin Moore,5' 4",125 lbs.,--,,--,,
Sergio Moraes,6' 0",170 lbs.,72",Orthodox,Jul 23  1982,The Panther,
Marlon Moraes,5' 6",135 lbs.,67",Orthodox,Apr 26  1988,Magic,
Sheymon Moraes,5' 8",145 lbs.,72",Orthodox,Oct 11  1990,,
John Moraga,5' 6",125 lbs.,66",Orthodox,Mar 20  1984,Chicano,
Ricardo Morais,6' 8",270 lbs.,--,Orthodox,Feb 26  1967,The Mutant,
Leonardo Morales,5' 8",135 lbs.,68",Southpaw,Dec 22  1992,Chimy,
Albert Morales,5' 9",135 lbs.,72",Orthodox,May 25  1991,The Warrior,
Joseph Morales,5' 6",125 lbs.,69",Switch,Aug 22  1994,Bopo,
Vince Morales,5' 7",145 lbs.,70",Orthodox,Nov 12  1990,Vandetta,
Omar Morales,5' 11",155 lbs.,73",Orthodox,Oct 17  1985,Venezuelan Fighter,
Sarah Moras,5' 7",135 lbs.,67",Orthodox,Apr 30  1988,Cheesecake,
Christian Morecraft,6' 6",260 lbs.,81",Orthodox,Sep 08  1986,,
Joe Moreira,5' 11",195 lbs.,--,Southpaw,--,,
Richardson Moreira,6' 2",185 lbs.,72",Orthodox,Mar 31  1984,Rick Monstro,
Gisele Moreira,5' 6",135 lbs.,--,Orthodox,Jan 14  1981,Gi,
Vinicius Moreira,6' 4",205 lbs.,76",Orthodox,Feb 28  1989,Mamute,
Jesse Moreng,5' 7",145 lbs.,--,Orthodox,Nov 09  1979,Arturo,
Brandon Moreno,5' 7",125 lbs.,70",Orthodox,Dec 07  1993,The Assassin Baby,
Mike Moreno,6' 0",185 lbs.,--,,--,El Palo Duro,
Dan Moret,6' 0",155 lbs.,73",Southpaw,Nov 21  1986,The Hitman,
Sammy Morgan,5' 10",170 lbs.,--,Orthodox,Sep 28  1981,The Squeeze,
Peggy Morgan,6' 1",135 lbs.,70",,Dec 16  1979,The Daywalker,
Alex Morono,5' 11",170 lbs.,72",Orthodox,Aug 16  1990,The Great White,
Maryna Moroz,5' 7",125 lbs.,67",Orthodox,Sep 08  1991,Iron Lady,
Sergey Morozov,5' 6",135 lbs.,--,,Jun 14  1989,,
Brad Morris,6' 2",205 lbs.,--,Orthodox,Nov 01  1979,,
Scott Morris,5' 10",210 lbs.,--,Orthodox,--,,
Anthony Morrison,5' 7",145 lbs.,--,Orthodox,Mar 29  1984,Cheesesteak,
Jack Morrison,5' 11",205 lbs.,--,,--,,
Harry Moskowitz,6' 5",275 lbs.,--,Orthodox,--,Dirty,
Juan Mott,6' 0",190 lbs.,--,Switch,--,,
Flavio Luiz Moura,5' 11",183 lbs.,--,Open Stance,--,,
Gegard Mousasi,6' 2",185 lbs.,76",Orthodox,Aug 01  1985,,
Kin Moy,5' 5",135 lbs.,--,,--,Kong,
Jamie Moyle,5' 1",115 lbs.,65",Orthodox,Mar 17  1989,,
Su Mudaerji,5' 8",135 lbs.,72",Southpaw,Jan 20  1996,Sulamu,
Garrett Mueller,5' 9",135 lbs.,--,,Jan 29  1989,,
Lauren Mueller,5' 5",125 lbs.,67",Orthodox,Nov 15  1991,Princess Tiger,
Belal Muhammad,5' 11",170 lbs.,72",Orthodox,Jul 09  1988,Remember the Name,
Fazlo Mulabitinovic,--,135 lbs.,--,,--,,
Quinn Mulhern,6' 3",155 lbs.,76",Orthodox,Sep 20  1984,,
James Mulheron,5' 10",243 lbs.,73",Orthodox,Feb 20  1988,The Juggernaut,
Jamie Mullarkey,6' 0",155 lbs.,74",Orthodox,Aug 17  1994,,
Jim Mullen,6' 1",215 lbs.,--,Southpaw,--,,
Pedro Munhoz,5' 6",135 lbs.,65",Orthodox,Sep 07  1986,The Young Punisher,
Andre Muniz,6' 1",185 lbs.,78",Southpaw,Feb 17  1990,Sergipano,
Mark Munoz,6' 0",185 lbs.,72",Orthodox,Feb 09  1978,The Filipino Wrecking Machine,
Alex Munoz,5' 9",155 lbs.,--,Switch,Feb 27  1990,,
Andy Murad,5' 9",185 lbs.,--,,--,The Tooth Fairy,
Makhmud Muradov,6' 2",185 lbs.,75",Orthodox,Feb 08  1990,Mach,
Kazunari Murakami,6' 1",220 lbs.,--,Orthodox,Nov 29  1973,,
Ryuichi Murata,5' 8",183 lbs.,--,Orthodox,--,,
Kanako Murata,5' 1",115 lbs.,--,,Aug 10  1993,,
Vince Murdock,5' 6",145 lbs.,66",Orthodox,Mar 21  1991,,
Tom Murphy,6' 2",227 lbs.,--,Southpaw,Nov 19  1974,,
Ian Murphy,6' 1",185 lbs.,--,Orthodox,Jun 14  1985,,
Jon Murphy,6' 3",260 lbs.,--,Orthodox,Aug 09  1977,Man of Faith,
Lauren Murphy,5' 5",125 lbs.,67",Orthodox,Jul 27  1983,Lucky,
Patrick Murphy,6' 0",170 lbs.,--,,--,,
Lerone Murphy,5' 9",145 lbs.,73",Orthodox,Jul 22  1991,The Miracle,
Lee Murray,6' 3",185 lbs.,--,Orthodox,Sep 12  1977,Lightning,
Khalid Murtazaliev,6' 0",185 lbs.,76",Orthodox,Jul 15  1993,,
Azamat Murzakanov,5' 11",205 lbs.,--,,--,The Professional,
Nico Musoke,6' 0",170 lbs.,75",Orthodox,Apr 05  1986,Nico,
Andre Mussi,6' 3",242 lbs.,--,Orthodox,--,,
Magomed Mustafaev,5' 8",155 lbs.,71",Orthodox,Aug 02  1988,The Sniper,
Max Mustaki,6' 0",155 lbs.,--,Orthodox,Nov 07  1987,Mad,
Elvis Mutapcic,6' 0",185 lbs.,72",Orthodox,Jul 19  1986,The King,
Fiona Muxlow,5' 4",145 lbs.,--,,May 13  1977,,
Ho Bae Myeon,5' 11",168 lbs.,--,Orthodox,--,,
Katsuhiko Nagata,5' 7",154 lbs.,--,Southpaw,Oct 31  1973,,
Yuji Nagata,6' 0",225 lbs.,--,Orthodox,Apr 24  1968,,
Greg Nagy,6' 1",210 lbs.,--,Orthodox,Oct 18  1983,,
Logan Nail,--,185 lbs.,--,,Jun 20  1989,,
Yukiya Naito,6' 1",205 lbs.,--,Orthodox,--,,
Andrews Nakahara,6' 1",185 lbs.,--,Orthodox,Mar 12  1983,,
Rin Nakai,5' 1",135 lbs.,60",Orthodox,Oct 22  1986,,
Kazuhiro Nakamura,5' 11",205 lbs.,70",Orthodox,Jul 16  1979,Kaz,
Keita Nakamura,5' 11",170 lbs.,73",Southpaw,May 22  1984,K-Taro,
Daisuke Nakamura,5' 7",154 lbs.,--,Orthodox,Jun 10  1980,,
Yusaku Nakamura,5' 5",145 lbs.,--,,Jun 21  1986,,
Jutaro Nakao,5' 9",170 lbs.,--,Southpaw,Nov 30  1970,,
Yoshihiro Nakao,6' 0",220 lbs.,--,Southpaw,Jun 25  1972,Kiss,
Yui Chul Nam,5' 9",145 lbs.,69",Orthodox,Jul 16  1981,The Korean Bulldozer,
Tyson Nam,5' 7",125 lbs.,68",Orthodox,Oct 06  1983,,
Rose Namajunas,5' 5",115 lbs.,65",Orthodox,Jun 29  1992,Thug,
Yasuhito Namekawa,5' 9",205 lbs.,--,Orthodox,Oct 27  1974,,
Nad Narimani,5' 8",145 lbs.,70",Orthodox,Apr 14  1987,Smiler,
Roger Narvaez,6' 3",185 lbs.,79",Southpaw,Sep 09  1983,Silverback,
Fabio Nascimento,5' 10",185 lbs.,--,Orthodox,--,Negao,
Allan Nascimento,5' 9",125 lbs.,--,Orthodox,Sep 11  1991,Puro Osso,
Rodrigo Nascimento,6' 2",246 lbs.,80",Orthodox,Nov 26  1992,Ze Colmeia,
Bobby Nash,6' 0",170 lbs.,74",Orthodox,Mar 26  1990,Nashty,
Reza Nasri,5' 11",205 lbs.,--,Orthodox,--,,
Pawel Nastula,6' 0",230 lbs.,--,Southpaw,Jun 26  1970,,
Rafael Natal,6' 0",185 lbs.,76",Orthodox,Dec 25  1982,Sapo,
Ismail Naurdiev,5' 10",170 lbs.,74",Orthodox,Aug 18  1996,The Austrian Wonderboy,
Danny Navarro,5' 10",155 lbs.,--,,May 27  1983,,
Marcio Navarro,6' 0",155 lbs.,--,,Sep 17  1978,The Locomotive,
Dustin Neace,5' 9",145 lbs.,--,,Sep 12  1986,The Beast,
Josh Neal,6' 0",185 lbs.,--,,--,,
Joe Neal,5' 6",135 lbs.,--,,Jul 29  1986,Nine Lives,
Geoff Neal,5' 11",170 lbs.,75",Southpaw,Aug 28  1990,Handz of Steel,
Stanislav Nedkov,5' 11",205 lbs.,71",Orthodox,Dec 09  1981,Stucky,
Josh Neer,5' 11",170 lbs.,72",Orthodox,Mar 24  1983,The Dentist,
Nicolae Negumereanu,6' 0",205 lbs.,78",Orthodox,Sep 04  1994,,
Steve Nelmark,6' 0",240 lbs.,--,Orthodox,--,The Sandman,
Shane Nelson,5' 9",155 lbs.,70",Southpaw,Nov 29  1984,Sugar,
Roy Nelson,6' 0",263 lbs.,72",Orthodox,Jun 20  1976,Big Country,
Gunnar Nelson,5' 11",170 lbs.,72",Switch,Jul 28  1988,Gunni,
Kyle Nelson,5' 11",155 lbs.,71",Switch,Apr 20  1991,The Monster,
Lissette Neri,5' 2",145 lbs.,--,,Aug 05  1987,,
Mario Neto,6' 0",229 lbs.,--,Orthodox,--,Sukata,
Antonio Braga Neto,6' 3",185 lbs.,77",Orthodox,Oct 29  1987,,
Julio Cesar Neves Jr.,5' 8",145 lbs.,--,,Apr 25  1994,Morceguinho,
Nick Newell,5' 10",155 lbs.,74",Southpaw,Mar 17  1986,Notorious,
Journey Newson,5' 5",135 lbs.,67",Orthodox,Mar 07  1989,,
Jeff Newton,6' 2",205 lbs.,--,Sideways,Dec 11  1966,,
Carlos Newton,5' 9",170 lbs.,--,Orthodox,Aug 17  1976,The Ronin,
Emanuel Newton,6' 1",205 lbs.,--,,Jan 02  1984,The Hardcore Kid,
Francis Ngannou,6' 4",250 lbs.,83",Orthodox,Sep 05  1986,The Predator,
Ben Nguyen,5' 5",125 lbs.,65",Switch,Aug 03  1988,Ten,
Steven Nguyen,5' 11",145 lbs.,--,Switch,May 19  1993,,
Alex Nicholson,6' 4",185 lbs.,81",Orthodox,May 02  1990,The Spartan,
Mike Nickels,6' 4",205 lbs.,--,Orthodox,Dec 13  1971,,
Matheus Nicolau,5' 6",125 lbs.,66",Orthodox,Jan 06  1993,,
Jaimee Nievera,5' 5",125 lbs.,--,Orthodox,Oct 28  1984,Queenie,
Khomkrit Niimi,5' 2",125 lbs.,--,,--,The Bumblebee,
Tom Niinimaki,5' 9",145 lbs.,69",Orthodox,Jul 25  1982,Stoneface,
Ramsey Nijem,5' 11",155 lbs.,75",Orthodox,Apr 01  1988,,
Hans Nijman,6' 0",250 lbs.,--,Switch,Oct 23  1959,,
Jack Nilson,--,--,--,,--,,
Mats Nilsson,6' 1",170 lbs.,74",Orthodox,Dec 05  1983,,
Ning Guangyou,5' 4",145 lbs.,64",Southpaw,Dec 15  1981,Smasher,
Soichi Nishida,5' 11",320 lbs.,--,Orthodox,--,,
Yosuke Nishijima,5' 9",205 lbs.,--,Orthodox,May 15  1973,,
Akiyo Nishiura,5' 8",139 lbs.,--,Southpaw,Aug 08  1983,Wicky Akiyo,
Anthony Njokuani,6' 1",155 lbs.,75",Orthodox,Mar 01  1980,The Assassin,
Chidi Njokuani,6' 3",170 lbs.,--,,Dec 31  1988,Chidi Bang Bang,
Derrick Noble,5' 9",170 lbs.,--,Southpaw,Aug 14  1978,The Eraser,
Pedro Nobre,5' 5",135 lbs.,--,,Feb 13  1986,The Rock,
Jacob Noe,--,205 lbs.,--,,--,Psycho,
Minotauro Nogueira,6' 3",240 lbs.,77",Orthodox,Jun 02  1976,Minotauro,
Rogerio Nogueira,6' 2",205 lbs.,75",Southpaw,Jun 02  1976,Minotouro,
Alexandre Franca Nogueira,5' 7",145 lbs.,--,Orthodox,Jan 15  1978,Pequeno,
Talita Nogueira,5' 10",145 lbs.,--,,Oct 13  1985,Treta,
Kyle Noke,6' 1",170 lbs.,76",Southpaw,Mar 18  1980,,
Nick Nolte,6' 0",170 lbs.,--,,--,,
KJ Noons,5' 10",155 lbs.,72",Orthodox,Dec 07  1982,King,
Sage Northcutt,6' 0",170 lbs.,71",Orthodox,Mar 01  1996,Super,
Jan Nortje,6' 1",310 lbs.,--,Southpaw,Apr 11  1975,The Giant,
Scott Norton,5' 10",170 lbs.,--,Orthodox,Mar 15  1973,Hollywood,
Jonatas Novaes,5' 11",170 lbs.,--,,Mar 02  1981,,
Jason Novelli,6' 0",155 lbs.,75",Orthodox,Jun 08  1979,Pepsi,
Phillipe Nover,5' 9",145 lbs.,72",Orthodox,Feb 03  1984,The Filipino Assassin,
Diego Nunes,5' 6",145 lbs.,67",Orthodox,Nov 30  1982,The Gun,
Amanda Nunes,5' 8",145 lbs.,69",Orthodox,May 30  1988,Lioness,
Istela Nunes,5' 4",115 lbs.,--,,Jul 23  1992,,
Khabib Nurmagomedov,5' 10",155 lbs.,70",Orthodox,Sep 20  1988,The Eagle,
Said Nurmagomedov,5' 8",135 lbs.,70",Orthodox,Apr 05  1992,,
Abubakar Nurmagomedov,5' 11",170 lbs.,72",Orthodox,Nov 13  1989,,
Umar Nurmagomedov,5' 8",145 lbs.,--,,--,,
Kennedy Nzechukwu,6' 5",205 lbs.,83",Southpaw,Jun 13  1992,African Savage,
Jake O'Brien,6' 3",205 lbs.,76",Orthodox,Sep 25  1984,Irish,
TJ O'Brien,6' 2",155 lbs.,--,Orthodox,Jan 01  1987,The Spider,
Sean O'Connell,6' 1",205 lbs.,74",Orthodox,Sep 02  1983,The Real OC,
Dan O'Connor,5' 4",115 lbs.,--,,Nov 17  1982,Johnny Irish,
Sean O'Haire,6' 5",270 lbs.,--,Orthodox,Feb 25  1971,,
Sean O'Malley,5' 11",135 lbs.,72",Switch,Oct 24  1994,Sugar,
Jeremiah O'Neal,5' 8",260 lbs.,--,,Oct 25  1977,,
Chuck O'Neil,6' 2",170 lbs.,--,,Sep 22  1985,Cold Steel,
Brendan O'Reilly,5' 7",170 lbs.,69",Orthodox,Jun 24  1987,Badger,
Takahiro Oba,5' 8",200 lbs.,--,Southpaw,--,,
Nobuhiro Obiya,5' 8",145 lbs.,--,Orthodox,Jan 15  1981,,
Christian Ocon,5' 8",135 lbs.,69",Orthodox,Feb 05  1996,The Don,
Richard Odoms,6' 5",265 lbs.,82",Orthodox,May 08  1975,The Black Eagle,
Volkan Oezdemir,6' 2",205 lbs.,75",Orthodox,Sep 19  1989,No Time,
Naoya Ogawa,6' 4",255 lbs.,--,Orthodox,Mar 31  1968,,
Andy Ogle,5' 8",145 lbs.,69",Orthodox,Feb 16  1989,The Little Axe,
Michiyoshi Ohara,5' 10",205 lbs.,--,Orthodox,--,,
Koji Oishi,5' 8",170 lbs.,--,Orthodox,May 31  1977,,
Takayuki Okada,6' 1",290 lbs.,--,Orthodox,--,Giant Ochiai,
Yushin Okami,6' 2",170 lbs.,75",Southpaw,Jul 21  1981,Thunder,
JJ Okanovich,5' 11",155 lbs.,76",Orthodox,Nov 04  1990,The Bosnian Bomber,
Kazuki Okubo,5' 11",175 lbs.,--,Orthodox,--,,
Masakatsu Okuda,--,--,--,,--,,
Aleksei Oleinik,6' 2",240 lbs.,80",Orthodox,Jun 20  1977,The Boa Constrictor,
Michal Oleksiejczuk,6' 0",205 lbs.,74",Southpaw,Feb 22  1995,Lord,
Rafaello Oliveira,5' 8",155 lbs.,71",Orthodox,Jan 26  1982,Tractor,
Charles Oliveira,5' 10",155 lbs.,74",Orthodox,Oct 17  1989,Do Bronx,
Jorge Oliveira,6' 1",205 lbs.,--,,--,,
Ednaldo Oliveira,6' 5",205 lbs.,79",Orthodox,Feb 19  1984,Lula,
Alex Oliveira,5' 11",170 lbs.,76",Orthodox,Feb 21  1988,Cowboy,
Wendell Oliveira,5' 10",170 lbs.,72",Orthodox,Jun 01  1983,The Machine,
Felipe Olivieri,5' 9",155 lbs.,72",Orthodox,Apr 12  1985,,
Andy Ologun,6' 0",154 lbs.,--,Orthodox,Jun 12  1983,,
Shana Olsen,5' 7",145 lbs.,--,,Dec 17  1980,Rock Solid,
Casey Olson,5' 7",145 lbs.,--,Orthodox,--,The Underdog,
Dennis Olson,6' 0",170 lbs.,--,,--,,
Cameron Olson,6' 1",205 lbs.,75",Orthodox,Nov 22  1989,Cap'n Crunch,
Alan Omer,5' 10",145 lbs.,71",Orthodox,Sep 14  1988,,
Daniel Omielanczuk,6' 0",247 lbs.,74",Southpaw,Aug 31  1982,,
Michihiro Omigawa,5' 6",145 lbs.,68",Orthodox,Dec 19  1975,,
Charlie Ontiveros,6' 2",170 lbs.,--,,Jul 04  1991,The American Bad Boy,
Chibwikem Onyenegecha-Palmer,6' 3",185 lbs.,76",Orthodox,Apr 18  1994,,
Sam Oropeza,6' 2",170 lbs.,--,,--,,
Brian Ortega,5' 8",145 lbs.,69",Switch,Feb 21  1991,T-City,
Tito Ortiz,6' 3",205 lbs.,74",Orthodox,Jan 23  1975,The People's Champ,
Jorge Ortiz,6' 0",185 lbs.,--,Orthodox,--,The Naked Man,
Dustin Ortiz,5' 5",125 lbs.,65",Orthodox,Dec 25  1988,,
Kenji Osawa,5' 7",135 lbs.,66",Orthodox,Nov 04  1976,,
Ode Osbourne,5' 7",135 lbs.,73",Southpaw,Jan 09  1992,The Jamaican Sensation,
Kurt Osiander,--,185 lbs.,--,,--,,
Nick Osipczak,6' 2",170 lbs.,76",Orthodox,Dec 30  1984,,
Nissen Osterneck,6' 2",185 lbs.,--,Orthodox,May 01  1981,,
Rachael Ostovich,5' 3",125 lbs.,62",Orthodox,Feb 25  1991,,
Pedro Otavio,6' 3",245 lbs.,--,Orthodox,--,Te Pedro,
Alexander Otsuka,6' 1",205 lbs.,--,Orthodox,Jul 17  1971,The Diet Butcher,
Takafumi Otsuka,5' 6",139 lbs.,--,Orthodox,--,,
Zak Ottow,5' 11",170 lbs.,72",Orthodox,Dec 22  1986,The Barbarian,
Artur Oumakhanov,5' 7",154 lbs.,--,Orthodox,Feb 27  1979,,
Sidney Outlaw,5' 8",170 lbs.,74",Orthodox,Apr 11  1992,Da Gun,
Alistair Overeem,6' 4",265 lbs.,80",Orthodox,May 17  1980,The Demolition Man,
Valentijn Overeem,6' 3",230 lbs.,--,Orthodox,Aug 17  1976,,
Craig Oxley,5' 9",155 lbs.,--,,Feb 14  1973,,
Shungo Oyama,5' 11",185 lbs.,--,Southpaw,Apr 11  1974,,
Alptekin Ozkilic,5' 5",125 lbs.,65",Orthodox,Mar 27  1986,The Turkish Delight,
Raquel Pa'aluhi,5' 7",135 lbs.,--,,--,Rocky,
Nick Pace,5' 7",135 lbs.,68",Orthodox,Apr 17  1987,,
Larissa Pacheco,5' 7",135 lbs.,69",Orthodox,Sep 07  1994,,
Teemu Packalen,6' 1",155 lbs.,75",Orthodox,May 22  1987,Pacu,
George Pacurariu,5' 7",135 lbs.,--,,Jul 28  1984,Constantine,
Cyrillo Padilha,5' 11",155 lbs.,--,,Jan 23  1978,,
Gary Padilla,5' 11",205 lbs.,--,,May 04  1980,,
Damacio Page,5' 6",135 lbs.,66",Orthodox,Sep 30  1982,The Angel of Death,
Michael Page,6' 2",170 lbs.,--,,Apr 07  1987,Venom,
Dustin Pague,5' 9",135 lbs.,74",Orthodox,Aug 05  1987,The Disciple,
Josh Paiva,5' 6",125 lbs.,--,,Apr 05  1991,,
Raulian Paiva,5' 8",125 lbs.,69",Orthodox,Oct 17  1995,,
Fredson Paixao,5' 6",145 lbs.,66",Orthodox,May 13  1979,,
Jose Palacios,5' 9",145 lbs.,--,Orthodox,--,,
Ricardo Palacios,5' 6",145 lbs.,--,Orthodox,Jul 05  1987,El Gallero,
Bart Palaszewski,5' 9",145 lbs.,70",Orthodox,May 30  1983,Bartimus,
Soa Palelei,6' 4",265 lbs.,81",Orthodox,Jul 12  1977,The Hulk,
Rousimar Palhares,5' 8",170 lbs.,71",Orthodox,Feb 26  1980,Toquinho,
Tulio Palhares,--,180 lbs.,--,,--,,
Stephen Palling,5' 4",143 lbs.,--,,Jan 29  1967,Bozo,
Eduardo Pamplona,5' 11",170 lbs.,--,,Feb 20  1973,,
Alexandre Pantoja,5' 5",125 lbs.,67",Orthodox,Apr 16  1990,The Cannibal,
Jared Papazian,5' 8",135 lbs.,67",Southpaw,Feb 01  1988,The Jackhammer,
Joe Pardo,6' 1",210 lbs.,--,Southpaw,--,,
Bryan Pardoe,6' 1",205 lbs.,--,Orthodox,--,Pain Inducer,
Remco Pardoel,6' 3",260 lbs.,--,Southpaw,--,Grizzly,
Ido Pariente,5' 8",155 lbs.,--,Orthodox,--,,
Josh Parisian,6' 4",265 lbs.,--,Orthodox,Jun 28  1989,,
Karo Parisyan,5' 10",170 lbs.,72",Orthodox,Aug 28  1982,The Heat,
Won Sik Park,5' 11",154 lbs.,--,Orthodox,--,Parky,
Junyong Park,5' 10",185 lbs.,73",Orthodox,Feb 27  1991,The Iron Turtle,
Harvey Park,6' 0",155 lbs.,70",Orthodox,Mar 22  1986,Fightbot,
Norman Parke,5' 11",155 lbs.,70",Southpaw,Dec 22  1986,Stormin',
Ryan Parker,6' 3",235 lbs.,--,Southpaw,--,,
Larry Parker,5' 11",205 lbs.,--,Orthodox,--,,
Tyra Parker,5' 5",115 lbs.,--,Orthodox,--,,
Willie Parks,5' 10",185 lbs.,--,,Nov 04  1983,Slick,
Jordan Parsons,5' 9",145 lbs.,--,,Aug 26  1990,Pretty Boy,
Onassis Parungao,5' 11",200 lbs.,--,,--,,
Jorge Patino,5' 8",170 lbs.,--,Orthodox,Aug 05  1973,Macaco,
Russell Patrick,5' 9",145 lbs.,--,,--,,
Claude Patrick,5' 11",170 lbs.,75",Orthodox,Jun 14  1980,The Prince,
Alan Patrick,5' 11",155 lbs.,74",Southpaw,Jul 19  1983,Nuguette,
Michael Patt,6' 0",205 lbs.,--,Orthodox,--,,
Justin Patterson,5' 10",170 lbs.,--,,Dec 07  1985,The Tactician,
Julio Paulino,6' 0",170 lbs.,--,Orthodox,Dec 04  1975,The Dominican Demon,
Sergei Pavlovich,6' 3",257 lbs.,84",Southpaw,May 13  1992,,
Pawel Pawlak,6' 0",170 lbs.,73",Orthodox,Feb 08  1989,,
Estevan Payan,5' 10",145 lbs.,72",Orthodox,Mar 14  1982,El Terrible,
Sarah Payant,5' 4",115 lbs.,--,,--,Soulja,
Roland Payne,5' 9",205 lbs.,--,Orthodox,--,,
Jonathan Pearce,6' 0",155 lbs.,71",Switch,May 01  1992,JSP,
Joe Pearson,5' 10",145 lbs.,--,Orthodox,Mar 28  1978,The Triangular Strangler,
Ross Pearson,5' 8",155 lbs.,69",Orthodox,Sep 26  1984,The Real Deal,
Andre Pederneiras,5' 8",155 lbs.,--,Orthodox,Mar 22  1967,,
Carlo Pedersoli,5' 11",170 lbs.,75",Southpaw,Jun 08  1993,Semento,
Matt Pedro,--,--,--,,--,,
Tyson Pedro,6' 3",205 lbs.,79",Orthodox,Sep 17  1991,,
Willie Peeters,5' 9",220 lbs.,--,Orthodox,Oct 26  1965,,
Filip Pejic,5' 8",135 lbs.,70",Orthodox,Jul 21  1992,Nitro,
Kurt Pellegrino,5' 8",155 lbs.,70",Orthodox,May 07  1979,Batman,
Yan Pellerin,5' 11",205 lbs.,--,Orthodox,--,Wild Thing,
Julianna Pena,5' 6",135 lbs.,69",Orthodox,Aug 19  1989,The Venezuelan Vixen,
Luis Pena,6' 3",155 lbs.,75",Southpaw,Jul 05  1993,Violent Bob Ross,
Sherman Pendergarst,6' 1",235 lbs.,--,Orthodox,Aug 01  1967,The Tank,
Drew Pendleton,--,145 lbs.,--,,Dec 08  1983,,
Cathal Pendred,6' 1",170 lbs.,75",Orthodox,Sep 02  1987,The Punisher,
BJ Penn,5' 9",155 lbs.,70",Orthodox,Dec 13  1978,The Prodigy,
Jessica Penne,5' 5",115 lbs.,67",Orthodox,Jan 30  1983,,
Nick Penner,6' 4",205 lbs.,77",Southpaw,Mar 26  1980,The Quiet Assassin,
Justin Pennington,5' 4",--,--,,--,,
Raquel Pennington,5' 7",135 lbs.,67",Orthodox,Sep 05  1988,Rocky,
Jerron Peoples,6' 0",170 lbs.,--,,May 04  1982,,
Godofredo Pepey,5' 7",145 lbs.,73",Orthodox,Jul 02  1987,,
Ray Perales,5' 10",170 lbs.,--,Orthodox,--,Relentless,
Robert Peralta,5' 8",145 lbs.,71",Orthodox,Mar 14  1986,Problems,
Viviane Pereira,5' 1",115 lbs.,63",Orthodox,Aug 28  1993,Sucuri,
Michel Pereira,6' 1",170 lbs.,73",Orthodox,Oct 06  1993,Demolidor,
Rolando Perez,5' 8",135 lbs.,--,Orthodox,--,,
Philip Perez,5' 5",155 lbs.,--,Southpaw,--,,
Erik Perez,5' 8",135 lbs.,68",Orthodox,Nov 19  1989,Goyito,
Alejandro Perez,5' 6",135 lbs.,67",Orthodox,Sep 02  1989,Turbo,
Frankie Perez,5' 11",155 lbs.,73",Orthodox,May 11  1989,,
Jose Perez,--,--,--,,--,,
Alex Perez,5' 6",125 lbs.,65",Orthodox,Mar 21  1992,,
Markus Perez,6' 1",185 lbs.,73",Orthodox,Jun 22  1988,Maluko,
Anthony Perosh,6' 3",205 lbs.,75",Orthodox,Oct 05  1972,The Hippo,
Thiago Perpetuo,5' 10",170 lbs.,71",Orthodox,Dec 14  1987,Bodao,
Hernani Perpetuo,6' 0",170 lbs.,74",Orthodox,May 24  1985,,
Jason Perrin,5' 7",135 lbs.,69",Switch,Jun 15  1993,Savage,
Mike Perry,5' 10",170 lbs.,71",Orthodox,Sep 15  1991,Platinum,
Raphael Pessoa,6' 3",262 lbs.,78",Orthodox,Mar 09  1989,Bebezao,
Viktor Pesta,6' 3",240 lbs.,77",Orthodox,Jul 15  1990,,
Leiticia Pestova,5' 6",135 lbs.,--,Orthodox,Jan 15  1984,,
Tony Petarra,5' 11",196 lbs.,--,Orthodox,--,,
Tommy Petersen,--,155 lbs.,--,,--,,
Cory Peterson,6' 11",400 lbs.,--,Orthodox,--,LA Giant,
Steven Peterson,5' 10",145 lbs.,70",Orthodox,May 29  1990,Ocho,
Seth Petruzelli,6' 0",205 lbs.,76",Orthodox,Dec 03  1979,The Silverback,
Peter Petties,5' 11",145 lbs.,72",Southpaw,Dec 20  1990,The Joker,
Anthony Pettis,5' 10",155 lbs.,72",Orthodox,Jan 27  1987,Showtime,
Sergio Pettis,5' 6",125 lbs.,69",Orthodox,Aug 18  1993,,
Forrest Petz,5' 9",170 lbs.,71",Orthodox,Sep 22  1975,The Meat Cleaver,
Dino Pezao,--,205 lbs.,--,Orthodox,--,,
